qid,question,correct
0,blank,blank
1,"There's an old Russian saying, Where there are beavers",there are trappers.
2,"There's an old Korean saying, A man who stands behind a wall",can see nothing else.
3,"There's an old Greek saying, If you admit your pig to the table he will",put his feet on your head.
4,"There's an old Nigerian saying, A child is like a camel's neck",it goes where it pleases.
5,"There's an old Chilean saying, Ten who shout",get much more than ten who remain silent.
6,"There's an old Danish saying, Chop, and you will",have splinters.
7,"There's an old Roman saying, Grasp all",lose all.
8,"There's an old Danish saying, The laggard cow",gets the sour grass.
9,"There's an old Swiss saying, A merchant without money",is a peasant without a field.
10,"There's an old uncertain origin saying, The lizard runs no farther than",a heap of cow dung.
11,"There's an old Italian saying, Every day",is not a holiday.
12,"There's an old Chinese saying, When the wild bird lacks food",all the earth is before him.
13,"There's an old Finnish saying, Do not eat bread",which is still growing.
14,"There's an old German saying, Children are like",snow on the hedge.
15,"There's an old Canadian saying, Do not shout dinner till",you have your knife in the loaf.
16,"There's an old Genoese saying, Laughter makes",good blood.
17,"There's an old Hindu saying, Always in trouble, but named",Mr. Happy.
18,"There's an old Bedouin saying, Entertain a guest three days",before you ask any questions.
19,"There's an old Dutch saying, Cover up the pot",there is an eel in it.
20,"There's an old Ibo saying, Sneezing is",king.
21,"There's an old Czech saying, The cat makes sure whose",chin it licks.
22,"There's an old Tanganyikan saying, Little houses have",fat mice.
23,"There's an old Burmese saying, It cannot be later",than midnight.
24,"There's an old Italian saying, I saw you at Lucca",I knew you at Pisa.
25,"There's an old Latvian saying, A smiling face is",half the meal.
26,"There's an old English saying, The dog that fetches",will carry.
27,"There's an old Chinese saying, Better be the beak of a chicken than",the rump of an ox.
28,"There's an old Hawaiian saying, Only when your face is slapped should you",tell who your ancestors are.
29,"There's an old Zulu saying, Do not call to a dog with",a whip in your hand.
30,"There's an old Jamaican saying, Every river run",to its mamma.
31,"There's an old Masai saying, Flies have",eras.
32,"There's an old Haitian saying, When you are given an ox's head to eat",don't be afraid of its eyes.
33,"There's an old Chinese saying, The beginning and the end",reach out their hands to each other.
34,"There's an old Turkish saying, One doesn't play with",wood and fire at the same time.
35,"There's an old Malayan saying, However much dogs may bark, will the",hill fall to pieces?
36,"There's an old Bantu saying, There are forty kinds of lunacy",but only one kind of common sense.
37,"There's an old Croatian saying, An empty gourd",sings in the wind.
38,"There's an old Portuguese saying, The mad dog",bites its master.
39,"There's an old Kurdish saying, The jar does not always",return intact from the mountains.
40,"There's an old Togolese saying, Where there is a head one doesn't",put the headdress on the knee.
41,"There's an old Bulgarian saying, Do not salt",other people's food.
42,"There's an old Creole saying, One finger can't",catch fleas.
43,"There's an old Polish saying, He who goes barefoot",cannot do others harm.
44,"There's an old Roman saying, Laugh if you",are wise.
45,"There's an old Bornean saying, If a tree is firm",why should it fear the storm?
46,"There's an old Colombian saying, With patience and saliva the elephant",swallows an ant.
47,"There's an old Irish saying, Never sell a hen",on a wet day.
48,"There's an old Italian saying, Half a brain is enough for",him who says little.
49,"There's an old Estonian saying, There is no bird that cannot",wear its own feathers.
50,"There's an old Kenyan saying, He who refuses beans",refuses the sauce.
51,"There's an old Japanese saying, Ride an ox",before your ride a horse.
52,"There's an old African saying, Goats cannot live in a",herd of leopards.
53,"There's an old Spanish saying, In frosty weather a nail",is worth a horse.
54,"There's an old Indian saying, What reliance can be placed on",a sneeze?
55,"There's an old Chinese saying, If you cannot catch fish",catch shrimps.
56,"There's an old Syrian saying, Beat the water",and it is water.
57,"There's an old Moorish saying, He who cuts some wood",gets warm over it.
58,"There's an old American saying, Every man must skin",his own skunk.
59,"There's an old Maltese saying, He who fears wild cranes",should not sow beans.
60,"There's an old Russian saying, Do not catch everything that",swims.
61,"There's an old Mongolian saying, The pig does not see",the sky.
62,"There's an old Italian saying, Anything for a",quiet life.
63,"There's an old Madagascan saying, When the meat is done,",you come to the chopping board.
64,"There's an old English saying, It is no use fishing",in front of the net.
65,"There's an old Catalonian saying, He who draws near to a good treet",enjoys both its fruit and its shade.
66,"There's an old Jamaican saying, A crooked path",is hard to find.
67,"There's an old Peruvian saying, Don't give it to me, put it",in my hat.
68,"There's an old Norwegian saying, He who has waded",knows the water.
69,"There's an old West Indian saying, My grandmother say, the man that can crack a biscuit",must work for it.
70,"There's an old Tanganyikan saying, He who is stronger than you",strikes you with the stick you carry.
71,"There's an old Scottish saying, They that come with a gift",don't need to stand long at the door.
72,"There's an old Albanian saying, The poor man and the fire",do not like to be poked.
73,"There's an old Siamese saying, Beware of squint-eyed persons and",buffalos with outspread horns.
74,"There's an old Latvian saying, Where you wade into the swamp, there you",have to gather your berries.
75,"There's an old Czech saying, The time will come when winter will ask us:","""What were you doing all summer?"""
76,"There's an old English saying, The stone which is fit for the wall",will not be on the road very long.
77,"There's an old Nigerian saying, Bush cows are not to be feared when",they are moving in a herd.
78,"There's an old Chinese saying, I gave an order to the cat, and the cat",gave it to its tail.
79,"There's an old Egyptian saying, He whole wealth perplexes him may buy",pigeons and let them fly.
80,"There's an old Zanzibari saying, A good bird",does not cry twice.
81,"There's an old Chinese saying, He who sends charcoal in a snowstorm",is the true superior person.
82,"There's an old English saying, It is time to yoke when the cart",comes to the capples.
83,"There's an old Bornean saying, In the land where there are no eagles",the sparrow pretends he is an eagle.
84,"There's an old Indian saying, Man is like a",bubble of water on the ocean.
85,"There's an old Punjabi saying, If you live in the river",you should make friends with the crocodile.
86,"There's an old Ugandan saying, A bit of fresh meat",livens up the dried meat.
87,"There's an old Roman saying, He who lies on the ground",has no place to fall.
88,"There's an old Russian saying, The key is",mightier than the lock.
89,"There's an old Breton saying, Do not shake chestnuts",when there are children under the tree.
90,"There's an old Irish saying, Irish roads are",potholes loosely joined together with tarmac.
91,"There's an old Belgian saying, While the sheep bleats",it loses its mouthful.
92,"There's an old Laplander saying, He who shares the meat",is always left with the bone.
93,"There's an old Greek saying, When a bear is at your heels do not",look for his footprints.
94,"There's an old Finnish saying, Everybody collects coals",under their own kettle.
95,"There's an old Jamaican saying, When a bull's foot is broken",he must eat with monkeys.
96,"There's an old Scottish saying, Boil stones in butter",and the broth will be good.
97,"There's an old Chinese saying, If Heaven drops a date",you must open your mouth.
98,"There's an old Syrian saying, Custom is the",fifth element in the universe.
99,"There's an old Zulu saying, He who lives longest",has the most old clothes.